match_id,date,matchday,competition,home_team,away_team,score,match_report_url,yellow_cards,second_yellow_cards,red_cards,penalties,referee_id,referee_name,season,season_url
4647947,01/02/2026,20,Süper Lig,Galatasaray (1.),Kayserispor (17.),4:0,https://www.transfermarkt.com/spielbericht/index/spielbericht/4647947,7,-,-,2,17274,Adnan Deniz Kayatepe,2025,https://www.transfermarkt.com/adnan-deniz-kayatepe/profil/schiedsrichter/17274/plus/0?funktion=1&saison_id=2025&wettbewerb_id=
3230611,01/03/2020,26,2.Lig Beyaz,BAK FK (14.),Afyonspor (6.),1:5,https://www.transfermarkt.com/spielbericht/index/spielbericht/3230611,6,-,-,1,17274,Adnan Deniz Kayatepe,2019,https://www.transfermarkt.com/adnan-deniz-kayatepe/profil/schiedsrichter/17274/plus/0?funktion=1&saison_id=2019&wettbewerb_id=
2989469,01/04/2018,29,3.Lig Grup 3,Utas Usakspor (1.),Sultanbeyli Bld (3.),1:0,https://www.transfermarkt.com/spielbericht/index/spielbericht/2989469,6,1,-,-,17274,Adnan Deniz Kayatepe,2017,https://www.transfermarkt.com/adnan-deniz-kayatepe/profil/schiedsrichter/17274/plus/0?funktion=1&saison_id=2017&wettbewerb_id=
3230300,01/09/2019,1,2.Lig Kirmizi,Usak Spor (8.),Kahramanmaras (9.),1:0,https://www.transfermarkt.com/spielbericht/index/spielbericht/3230300,7,-,1,-,17274,Adnan Deniz Kayatepe,2019,https://www.transfermarkt.com/adnan-deniz-kayatepe/profil/schiedsrichter/17274/plus/0?funktion=1&saison_id=2019&wettbewerb_id=
2763894,01/10/2016,5,3.Lig Grup 1,Bayburt Grup ÖI (19.),Manavgatspor (15.),2:0,https://www.transfermarkt.com/spielbericht/index/spielbericht/2763894,4,-,-,-,17274,Adnan Deniz Kayatepe,2016,https://www.transfermarkt.com/adnan-deniz-kayatepe/profil/schiedsrichter/17274/plus/0?funktion=1&saison_id=2016&wettbewerb_id=
2600088,02/04/2016,33,3.Lig Grup 1,Silivrispor (13.),Bursa Nilüfer (11.),2:1,https://www.transfermarkt.com/spielbericht/index/spielbericht/2600088,4,-,-,1,17274,Adnan Deniz Kayatepe,2015,https://www.transfermarkt.com/adnan-deniz-kayatepe/profil/schiedsrichter/17274/plus/0?funktion=1&saison_id=2015&wettbewerb_id=
4337420,02/05/2024,First Round,3.Lig Playoff,Bornova 1877,Kusadasispor,1:2,https://www.transfermarkt.com/spielbericht/index/spielbericht/4337420,4,-,-,-,17274,Adnan Deniz Kayatepe,2023,https://www.transfermarkt.com/adnan-deniz-kayatepe/profil/schiedsrichter/17274/plus/0?funktion=1&saison_id=2023&wettbewerb_id=
3632467,02/10/2021,5,2.Lig Beyaz,1922 Konya (15.),Usak Spor (12.),5:1,https://www.transfermarkt.com/spielbericht/index/spielbericht/3632467,4,-,-,-,17274,Adnan Deniz Kayatepe,2021,https://www.transfermarkt.com/adnan-deniz-kayatepe/profil/schiedsrichter/17274/plus/0?funktion=1&saison_id=2021&wettbewerb_id=
4131586,03/02/2024,21,1.Lig,Ümraniyespor (10.),Bodrum FK (4.),1:2,https://www.transfermarkt.com/spielbericht/index/spielbericht/4131586,5,-,-,-,17274,Adnan Deniz Kayatepe,2023,https://www.transfermarkt.com/adnan-deniz-kayatepe/profil/schiedsrichter/17274/plus/0?funktion=1&saison_id=2023&wettbewerb_id=
3165957,03/04/2019,29,2.Lig Beyaz,Nigde Anadolu (11.),Sancaktepe Bld (6.),1:1,https://www.transfermarkt.com/spielbericht/index/spielbericht/3165957,7,-,-,-,17274,Adnan Deniz Kayatepe,2018,https://www.transfermarkt.com/adnan-deniz-kayatepe/profil/schiedsrichter/17274/plus/0?funktion=1&saison_id=2018&wettbewerb_id=
