mac_id,match_date_iso,referee_name,home_team,away_team,score,organization,risk_score_0_100
249156,2023-08-12,HALİL UMUT MELER,ZECORNER KAYSERİSPOR,GALATASARAY A.Ş.,0-0,Trendyol Süper Lig,52.21
249157,2023-08-12,ÇAĞDAŞ ALTAY,ATKO GRUP PENDİKSPOR FUTBOL A.Ş.,ATAKAŞ HATAYSPOR,1-5,Trendyol Süper Lig,43.38
249162,2023-08-11,ZORBAY KÜÇÜK,TRABZONSPOR A.Ş.,HESAP.COM ANTALYASPOR,1-0,Trendyol Süper Lig,48.17
249165,2023-08-12,BURAK PAKKAN,TÜMOSAN KONYASPOR,İSTANBULSPOR A.Ş.,1-1,Trendyol Süper Lig,61.47
249168,2023-08-19,ATİLLA KARAOĞLAN,GALATASARAY A.Ş.,TRABZONSPOR A.Ş.,2-0,Trendyol Süper Lig,59.48
249179,2023-08-27,DİRENÇ TONUSLUOĞLU,CORENDON ALANYASPOR,ATAKAŞ HATAYSPOR,0-0,Trendyol Süper Lig,46.03
249181,2023-08-27,TURGUT DOMAN,MISIRLI.COM.TR FATİH KARAGÜMRÜK,MKE ANKARAGÜCÜ,1-1,Trendyol Süper Lig,40.16
249183,2023-09-28,ZORBAY KÜÇÜK,FENERBAHÇE A.Ş.,RAMS BAŞAKŞEHİR FUTBOL KULÜBÜ,4-0,Trendyol Süper Lig,49.96
249190,2023-09-02,ALİ ŞANSALAN,GAZİANTEP FUTBOL KULÜBÜ A.Ş.,GALATASARAY A.Ş.,0-3,Trendyol Süper Lig,48.49
249192,2023-09-02,YASİN KOL,HESAP.COM ANTALYASPOR,ZECORNER KAYSERİSPOR,1-1,Trendyol Süper Lig,60.02
249197,2023-09-17,DİRENÇ TONUSLUOĞLU,İSTANBULSPOR A.Ş.,RAMS BAŞAKŞEHİR FUTBOL KULÜBÜ,0-2,Trendyol Süper Lig,49.62
249199,2023-09-17,TURGUT DOMAN,CORENDON ALANYASPOR,KASIMPAŞA A.Ş.,3-3,Trendyol Süper Lig,39.34
249203,2023-09-17,HALİL UMUT MELER,FENERBAHÇE A.Ş.,HESAP.COM ANTALYASPOR,3-2,Trendyol Süper Lig,49.83
249208,2023-09-24,YASİN KOL,KASIMPAŞA A.Ş.,ADANA DEMİRSPOR A.Ş.,2-1,Trendyol Süper Lig,62.84
249211,2023-09-23,KADİR SAĞLAM,RAMS BAŞAKŞEHİR FUTBOL KULÜBÜ,GALATASARAY A.Ş.,1-2,Trendyol Süper Lig,56.38
249215,2023-09-23,BURAK PAKKAN,ÇAYKUR RİZESPOR A.Ş.,ÖZBELSAN SİVASSPOR,1-1,Trendyol Süper Lig,56.11
249220,2023-10-01,ALİ ŞANSALAN,ADANA DEMİRSPOR A.Ş.,CORENDON ALANYASPOR,4-0,Trendyol Süper Lig,47.3
249221,2023-10-01,ATİLLA KARAOĞLAN,MISIRLI.COM.TR FATİH KARAGÜMRÜK,KASIMPAŞA A.Ş.,2-3,Trendyol Süper Lig,61.32
249223,2023-10-01,CİHAN AYDIN,FENERBAHÇE A.Ş.,ÇAYKUR RİZESPOR A.Ş.,5-0,Trendyol Süper Lig,40.74
249226,2023-10-08,ÜMİT ÖZTÜRK,ATAKAŞ HATAYSPOR,TÜMOSAN KONYASPOR,3-1,Trendyol Süper Lig,45.7
249232,2023-10-07,ZORBAY KÜÇÜK,HESAP.COM ANTALYASPOR,GALATASARAY A.Ş.,0-2,Trendyol Süper Lig,48.43
249238,2023-10-21,HALİL UMUT MELER,GALATASARAY A.Ş.,BEŞİKTAŞ A.Ş.,2-1,Trendyol Süper Lig,50.55
249255,2023-10-28,KADİR SAĞLAM,ÇAYKUR RİZESPOR A.Ş.,GALATASARAY A.Ş.,0-1,Trendyol Süper Lig,57.51
249260,2023-11-06,ALİ ŞANSALAN,GAZİANTEP FUTBOL KULÜBÜ A.Ş.,ÇAYKUR RİZESPOR A.Ş.,2-0,Trendyol Süper Lig,49.5
249263,2023-11-04,ZORBAY KÜÇÜK,FENERBAHÇE A.Ş.,TRABZONSPOR A.Ş.,2-3,Trendyol Süper Lig,49.83
249267,2023-11-12,BURAK PAKKAN,ATKO GRUP PENDİKSPOR FUTBOL A.Ş.,SAMSUNSPOR A.Ş.,1-0,Trendyol Süper Lig,55.0
249268,2023-11-11,ÇAĞDAŞ ALTAY,KASIMPAŞA A.Ş.,ZECORNER KAYSERİSPOR,3-4,Trendyol Süper Lig,43.41
249270,2023-11-12,HALİL UMUT MELER,ADANA DEMİRSPOR A.Ş.,FENERBAHÇE A.Ş.,0-0,Trendyol Süper Lig,53.39
249274,2023-11-10,DİRENÇ TONUSLUOĞLU,MKE ANKARAGÜCÜ,HESAP.COM ANTALYASPOR,0-4,Trendyol Süper Lig,45.79
249280,2023-11-25,ÜMİT ÖZTÜRK,GAZİANTEP FUTBOL KULÜBÜ A.Ş.,MKE ANKARAGÜCÜ,0-1,Trendyol Süper Lig,50.09
249281,2023-11-27,CİHAN AYDIN,RAMS BAŞAKŞEHİR FUTBOL KULÜBÜ,ATKO GRUP PENDİKSPOR FUTBOL A.Ş.,4-1,Trendyol Süper Lig,41.01
249282,2023-11-26,TURGUT DOMAN,HESAP.COM ANTALYASPOR,ÇAYKUR RİZESPOR A.Ş.,0-0,Trendyol Süper Lig,37.06
249286,2023-12-01,YİĞİT ARSLAN,ATAKAŞ HATAYSPOR,HESAP.COM ANTALYASPOR,3-3,Trendyol Süper Lig,54.53
249289,2023-12-02,BURAK PAKKAN,CORENDON ALANYASPOR,TÜMOSAN KONYASPOR,2-2,Trendyol Süper Lig,56.24
249291,2023-12-01,KADİR SAĞLAM,MISIRLI.COM.TR FATİH KARAGÜMRÜK,İSTANBULSPOR A.Ş.,3-0,Trendyol Süper Lig,62.75
249296,2023-12-10,TURGUT DOMAN,ZECORNER KAYSERİSPOR,ATKO GRUP PENDİKSPOR FUTBOL A.Ş.,2-0,Trendyol Süper Lig,41.32
249297,2023-12-10,CİHAN AYDIN,İSTANBULSPOR A.Ş.,CORENDON ALANYASPOR,0-1,Trendyol Süper Lig,46.03
249299,2023-12-09,ZORBAY KÜÇÜK,SAMSUNSPOR A.Ş.,KASIMPAŞA A.Ş.,4-2,Trendyol Süper Lig,50.25
249304,2023-12-11,HALİL UMUT MELER,MKE ANKARAGÜCÜ,ÇAYKUR RİZESPOR A.Ş.,1-1,Trendyol Süper Lig,54.08
249308,2024-01-09,BURAK PAKKAN,KASIMPAŞA A.Ş.,RAMS BAŞAKŞEHİR FUTBOL KULÜBÜ,0-3,Trendyol Süper Lig,54.77
249309,2024-01-09,DİRENÇ TONUSLUOĞLU,CORENDON ALANYASPOR,MKE ANKARAGÜCÜ,1-1,Trendyol Süper Lig,47.61
249313,2024-01-10,KADİR SAĞLAM,FENERBAHÇE A.Ş.,TÜMOSAN KONYASPOR,7-1,Trendyol Süper Lig,59.17
249317,2023-12-19,ALİ ŞANSALAN,İSTANBULSPOR A.Ş.,TRABZONSPOR A.Ş.,0-3,Trendyol Süper Lig,49.63
249323,2023-12-21,ÜMİT ÖZTÜRK,BEŞİKTAŞ A.Ş.,CORENDON ALANYASPOR,1-3,Trendyol Süper Lig,43.72
249326,2023-12-25,KADİR SAĞLAM,ATAKAŞ HATAYSPOR,BEŞİKTAŞ A.Ş.,1-2,Trendyol Süper Lig,58.57
249328,2023-12-25,TURGUT DOMAN,KASIMPAŞA A.Ş.,ÇAYKUR RİZESPOR A.Ş.,2-2,Trendyol Süper Lig,39.44
249336,2024-01-07,ALPER AKARSU,ZECORNER KAYSERİSPOR,ÖZBELSAN SİVASSPOR,1-3,Trendyol Süper Lig,45.88
249338,2024-01-07,ALİ ŞANSALAN,GALATASARAY A.Ş.,TÜMOSAN KONYASPOR,3-0,Trendyol Süper Lig,45.67
249340,2024-01-05,ÇAĞDAŞ ALTAY,GAZİANTEP FUTBOL KULÜBÜ A.Ş.,ATKO GRUP PENDİKSPOR FUTBOL A.Ş.,2-2,Trendyol Süper Lig,46.61
249345,2024-01-06,CİHAN AYDIN,ÇAYKUR RİZESPOR A.Ş.,ATAKAŞ HATAYSPOR,2-0,Trendyol Süper Lig,41.51
249357,2024-01-22,CİHAN AYDIN,ZECORNER KAYSERİSPOR,İSTANBULSPOR A.Ş.,0-1,Trendyol Süper Lig,47.33
249360,2024-01-21,KADİR SAĞLAM,ÖZBELSAN SİVASSPOR,GAZİANTEP FUTBOL KULÜBÜ A.Ş.,2-2,Trendyol Süper Lig,62.94
249361,2024-01-20,ÜMİT ÖZTÜRK,MISIRLI.COM.TR FATİH KARAGÜMRÜK,RAMS BAŞAKŞEHİR FUTBOL KULÜBÜ,1-1,Trendyol Süper Lig,42.25
249362,2024-01-21,ZORBAY KÜÇÜK,TÜMOSAN KONYASPOR,HESAP.COM ANTALYASPOR,1-1,Trendyol Süper Lig,50.35
249365,2024-01-20,ALİ ŞANSALAN,CORENDON ALANYASPOR,ÇAYKUR RİZESPOR A.Ş.,2-1,Trendyol Süper Lig,45.66
249370,2024-01-23,ATİLLA KARAOĞLAN,BEŞİKTAŞ A.Ş.,ADANA DEMİRSPOR A.Ş.,0-0,Trendyol Süper Lig,62.93
249371,2024-01-24,MUHAMMET ALİ METOĞLU,MKE ANKARAGÜCÜ,MISIRLI.COM.TR FATİH KARAGÜMRÜK,2-0,Trendyol Süper Lig,56.88
249374,2024-01-24,TURGUT DOMAN,HESAP.COM ANTALYASPOR,ÖZBELSAN SİVASSPOR,2-1,Trendyol Süper Lig,37.74
249379,2024-01-29,ÖMER FARUK TURTAY,İSTANBULSPOR A.Ş.,SAMSUNSPOR A.Ş.,1-1,Trendyol Süper Lig,52.54
249382,2024-01-29,DİRENÇ TONUSLUOĞLU,ZECORNER KAYSERİSPOR,HESAP.COM ANTALYASPOR,1-1,Trendyol Süper Lig,44.92
249395,2024-02-03,CİHAN AYDIN,ÇAYKUR RİZESPOR A.Ş.,TÜMOSAN KONYASPOR,0-0,Trendyol Süper Lig,41.92
249396,2024-02-12,ALİ ŞANSALAN,TRABZONSPOR A.Ş.,ATAKAŞ HATAYSPOR,2-0,Trendyol Süper Lig,45.0
249397,2024-02-10,ZORBAY KÜÇÜK,MISIRLI.COM.TR FATİH KARAGÜMRÜK,ATKO GRUP PENDİKSPOR FUTBOL A.Ş.,2-0,Trendyol Süper Lig,51.6
249398,2024-02-09,BURAK PAKKAN,ADANA DEMİRSPOR A.Ş.,KASIMPAŞA A.Ş.,1-3,Trendyol Süper Lig,57.54
249401,2024-02-10,CİHAN AYDIN,GALATASARAY A.Ş.,RAMS BAŞAKŞEHİR FUTBOL KULÜBÜ,2-0,Trendyol Süper Lig,38.87
249402,2024-02-12,ATİLLA KARAOĞLAN,SAMSUNSPOR A.Ş.,HESAP.COM ANTALYASPOR,2-0,Trendyol Süper Lig,58.26
249404,2024-02-11,DİRENÇ TONUSLUOĞLU,TÜMOSAN KONYASPOR,MKE ANKARAGÜCÜ,1-0,Trendyol Süper Lig,48.62
249406,2024-02-19,OĞUZHAN ÇAKIR,RAMS BAŞAKŞEHİR FUTBOL KULÜBÜ,ZECORNER KAYSERİSPOR,2-3,Trendyol Süper Lig,44.5
249411,2024-02-16,KADİR SAĞLAM,KASIMPAŞA A.Ş.,MISIRLI.COM.TR FATİH KARAGÜMRÜK,1-1,Trendyol Süper Lig,58.1
249412,2024-02-18,HALİL UMUT MELER,ATKO GRUP PENDİKSPOR FUTBOL A.Ş.,TRABZONSPOR A.Ş.,0-2,Trendyol Süper Lig,51.89
249414,2024-02-17,ÜMİT ÖZTÜRK,ATAKAŞ HATAYSPOR,ÖZBELSAN SİVASSPOR,1-1,Trendyol Süper Lig,45.46
249416,2024-02-24,ZORBAY KÜÇÜK,TÜMOSAN KONYASPOR,ATAKAŞ HATAYSPOR,2-0,Trendyol Süper Lig,52.77
249417,2024-02-25,BURAK PAKKAN,ÖZBELSAN SİVASSPOR,ATKO GRUP PENDİKSPOR FUTBOL A.Ş.,4-1,Trendyol Süper Lig,57.25
249418,2024-02-24,CİHAN AYDIN,FENERBAHÇE A.Ş.,KASIMPAŞA A.Ş.,2-1,Trendyol Süper Lig,41.22
249421,2024-02-24,ALİ ŞANSALAN,GAZİANTEP FUTBOL KULÜBÜ A.Ş.,RAMS BAŞAKŞEHİR FUTBOL KULÜBÜ,0-2,Trendyol Süper Lig,48.37
249427,2024-03-02,MUHAMMET ALİ METOĞLU,MKE ANKARAGÜCÜ,İSTANBULSPOR A.Ş.,1-1,Trendyol Süper Lig,62.89
249429,2024-03-03,ABDULLAH BUĞRA TAŞKINSOY,RAMS BAŞAKŞEHİR FUTBOL KULÜBÜ,SAMSUNSPOR A.Ş.,1-0,Trendyol Süper Lig,46.28
249433,2024-03-02,ATİLLA KARAOĞLAN,ATAKAŞ HATAYSPOR,FENERBAHÇE A.Ş.,0-2,Trendyol Süper Lig,61.99
249436,2024-03-10,HALİL UMUT MELER,ZECORNER KAYSERİSPOR,ATAKAŞ HATAYSPOR,1-1,Trendyol Süper Lig,53.71
249437,2024-03-10,KADİR SAĞLAM,FENERBAHÇE A.Ş.,ATKO GRUP PENDİKSPOR FUTBOL A.Ş.,4-1,Trendyol Süper Lig,59.4
249439,2024-03-09,ALİ ŞANSALAN,ÖZBELSAN SİVASSPOR,CORENDON ALANYASPOR,1-2,Trendyol Süper Lig,46.35
249444,2024-03-10,ÜMİT ÖZTÜRK,SAMSUNSPOR A.Ş.,MKE ANKARAGÜCÜ,2-1,Trendyol Süper Lig,44.78
249447,2024-03-15,OĞUZHAN ÇAKIR,ATKO GRUP PENDİKSPOR FUTBOL A.Ş.,İSTANBULSPOR A.Ş.,1-0,Trendyol Süper Lig,50.7
249462,2024-04-03,ATİLLA KARAOĞLAN,TÜMOSAN KONYASPOR,TRABZONSPOR A.Ş.,1-3,Trendyol Süper Lig,61.4
249464,2024-04-02,ÇAĞDAŞ ALTAY,HESAP.COM ANTALYASPOR,MKE ANKARAGÜCÜ,1-1,Trendyol Süper Lig,41.89
249468,2024-04-15,CİHAN AYDIN,CORENDON ALANYASPOR,GALATASARAY A.Ş.,0-4,Trendyol Süper Lig,39.9
249471,2024-04-14,HALİL UMUT MELER,ATKO GRUP PENDİKSPOR FUTBOL A.Ş.,RAMS BAŞAKŞEHİR FUTBOL KULÜBÜ,2-3,Trendyol Süper Lig,52.02
249475,2024-04-13,ZORBAY KÜÇÜK,KASIMPAŞA A.Ş.,TÜMOSAN KONYASPOR,0-2,Trendyol Süper Lig,52.74
