referee_name,matches,avg_home_cards,avg_away_cards,home_minus_away
DİRENÇ TONUSLUOĞLU,13,2.923,1.846,1.077
ALİ ŞANSALAN,24,2.5,2.0,0.5
BATUHAN KOLAK,8,2.875,2.625,0.25
KADİR SAĞLAM,27,3.148,3.037,0.111
ALİ YILMAZ,8,1.75,1.75,0.0
BURAK PAKKAN,13,3.154,3.308,-0.154
ÇAĞDAŞ ALTAY,18,1.556,1.722,-0.167
MEHMET TÜRKMEN,19,1.421,1.632,-0.211
HALİL UMUT MELER,24,2.333,2.583,-0.25
ALPER AKARSU,15,1.933,2.2,-0.267
MUHAMMET ALİ METOĞLU,11,3.091,3.455,-0.364
OĞUZHAN ÇAKIR,19,1.895,2.263,-0.368
OZAN ERGÜN,19,2.316,2.737,-0.421
CİHAN AYDIN,30,1.567,2.0,-0.433
ÜMİT ÖZTÜRK,13,1.846,2.308,-0.462
YİĞİT ARSLAN,6,2.5,3.0,-0.5
ADNAN DENİZ KAYATEPE,8,2.625,3.125,-0.5
ATİLLA KARAOĞLAN,29,3.0,3.517,-0.517
ZORBAY KÜÇÜK,22,2.227,2.773,-0.545
TURGUT DOMAN,11,1.273,2.091,-0.818
ÖMER TOLGA GÜLDİBİ,5,2.6,3.6,-1.0
YASİN KOL,14,2.714,4.143,-1.429
