referee_name,team,matches,total_cards,cards_per_match
KADİR SAĞLAM,GAZİANTEP FUTBOL KULÜBÜ A.Ş.,6,25,4.167
ATİLLA KARAOĞLAN,GALATASARAY A.Ş.,5,22,4.4
ATİLLA KARAOĞLAN,FENERBAHÇE A.Ş.,6,19,3.167
ZORBAY KÜÇÜK,GAZİANTEP FUTBOL KULÜBÜ A.Ş.,3,18,6.0
ATİLLA KARAOĞLAN,RAMS BAŞAKŞEHİR FUTBOL KULÜBÜ,5,17,3.4
YASİN KOL,GALATASARAY A.Ş.,3,16,5.333
ZORBAY KÜÇÜK,TÜMOSAN KONYASPOR,4,16,4.0
BURAK PAKKAN,ÖZBELSAN SİVASSPOR,5,14,2.8
YASİN KOL,KASIMPAŞA A.Ş.,3,13,4.333
OZAN ERGÜN,TRABZONSPOR A.Ş.,3,13,4.333
OZAN ERGÜN,ZECORNER KAYSERİSPOR,4,13,3.25
ATİLLA KARAOĞLAN,TÜMOSAN KONYASPOR,4,13,3.25
ATİLLA KARAOĞLAN,TRABZONSPOR A.Ş.,5,13,2.6
ALİ ŞANSALAN,CORENDON ALANYASPOR,5,13,2.6
BURAK PAKKAN,ÇAYKUR RİZESPOR A.Ş.,2,12,6.0
TURGUT DOMAN,ÇAYKUR RİZESPOR A.Ş.,4,12,3.0
KADİR SAĞLAM,ZECORNER KAYSERİSPOR,4,12,3.0
OĞUZHAN ÇAKIR,TÜMOSAN KONYASPOR,5,12,2.4
CİHAN AYDIN,HESAP.COM ANTALYASPOR,6,12,2.0
YASİN KOL,SAMSUNSPOR A.Ş.,2,11,5.5
KADİR SAĞLAM,HESAP.COM ANTALYASPOR,3,11,3.667
HALİL UMUT MELER,ÇAYKUR RİZESPOR A.Ş.,3,11,3.667
ATİLLA KARAOĞLAN,KASIMPAŞA A.Ş.,3,11,3.667
KADİR SAĞLAM,RAMS BAŞAKŞEHİR FUTBOL KULÜBÜ,4,11,2.75
ATİLLA KARAOĞLAN,GÖZTEPE A.Ş.,4,11,2.75
ALİ ŞANSALAN,GALATASARAY A.Ş.,4,11,2.75
ZORBAY KÜÇÜK,FENERBAHÇE A.Ş.,2,10,5.0
OZAN ERGÜN,GAZİANTEP FUTBOL KULÜBÜ A.Ş.,3,10,3.333
DİRENÇ TONUSLUOĞLU,ZECORNER KAYSERİSPOR,3,10,3.333
KADİR SAĞLAM,GALATASARAY A.Ş.,4,10,2.5
HALİL UMUT MELER,FENERBAHÇE A.Ş.,4,10,2.5
ATİLLA KARAOĞLAN,ATAKAŞ HATAYSPOR,4,10,2.5
ATİLLA KARAOĞLAN,ADANA DEMİRSPOR A.Ş.,4,10,2.5
ZORBAY KÜÇÜK,HESAP.COM ANTALYASPOR,5,10,2.0
CİHAN AYDIN,BEŞİKTAŞ A.Ş.,5,10,2.0
CİHAN AYDIN,ÇAYKUR RİZESPOR A.Ş.,7,10,1.429
YASİN KOL,ADANA DEMİRSPOR A.Ş.,3,9,3.0
OĞUZHAN ÇAKIR,ATAKAŞ HATAYSPOR,3,9,3.0
HALİL UMUT MELER,ZECORNER KAYSERİSPOR,3,9,3.0
HALİL UMUT MELER,KASIMPAŞA A.Ş.,3,9,3.0
BURAK PAKKAN,TÜMOSAN KONYASPOR,3,9,3.0
ALİ ŞANSALAN,TÜMOSAN KONYASPOR,3,9,3.0
ALİ ŞANSALAN,ATAKAŞ HATAYSPOR,3,9,3.0
OZAN ERGÜN,FENERBAHÇE A.Ş.,4,9,2.25
ÜMİT ÖZTÜRK,MKE ANKARAGÜCÜ,2,8,4.0
ÖMER TOLGA GÜLDİBİ,MISIRLI.COM.TR FATİH KARAGÜMRÜK,2,8,4.0
MUHAMMET ALİ METOĞLU,KASIMPAŞA A.Ş.,2,8,4.0
KADİR SAĞLAM,ÇAYKUR RİZESPOR A.Ş.,2,8,4.0
KADİR SAĞLAM,ADANA DEMİRSPOR A.Ş.,2,8,4.0
HALİL UMUT MELER,ATAKAŞ HATAYSPOR,2,8,4.0
DİRENÇ TONUSLUOĞLU,CORENDON ALANYASPOR,2,8,4.0
BURAK PAKKAN,HESAP.COM ANTALYASPOR,2,8,4.0
ALPER AKARSU,İKAS EYÜPSPOR,2,8,4.0
YASİN KOL,FENERBAHÇE A.Ş.,3,8,2.667
OĞUZHAN ÇAKIR,FENERBAHÇE A.Ş.,3,8,2.667
OĞUZHAN ÇAKIR,CORENDON ALANYASPOR,3,8,2.667
BATUHAN KOLAK,GÖZTEPE A.Ş.,3,8,2.667
ÇAĞDAŞ ALTAY,KASIMPAŞA A.Ş.,4,8,2.0
OĞUZHAN ÇAKIR,BEŞİKTAŞ A.Ş.,4,8,2.0
CİHAN AYDIN,GÖZTEPE A.Ş.,4,8,2.0
BURAK PAKKAN,KASIMPAŞA A.Ş.,4,8,2.0
ALİ ŞANSALAN,ÖZBELSAN SİVASSPOR,4,8,2.0
ÜMİT ÖZTÜRK,SİPAY BODRUM FK,2,7,3.5
ÖMER TOLGA GÜLDİBİ,ÇAYKUR RİZESPOR A.Ş.,2,7,3.5
ZORBAY KÜÇÜK,İKAS EYÜPSPOR,2,7,3.5
OZAN ERGÜN,İKAS EYÜPSPOR,2,7,3.5
MUHAMMET ALİ METOĞLU,ÖZBELSAN SİVASSPOR,2,7,3.5
KADİR SAĞLAM,SAMSUNSPOR A.Ş.,2,7,3.5
KADİR SAĞLAM,KASIMPAŞA A.Ş.,2,7,3.5
KADİR SAĞLAM,FENERBAHÇE A.Ş.,2,7,3.5
KADİR SAĞLAM,CORENDON ALANYASPOR,2,7,3.5
DİRENÇ TONUSLUOĞLU,GAZİANTEP FUTBOL KULÜBÜ A.Ş.,2,7,3.5
