year_month,matches,yellow_total,red_direct,second_yellow_red,penalty_goals
2023-08,7,29,2,1,0
2023-09,9,43,2,1,4
2023-10,7,36,1,0,2
2023-11,9,45,0,1,4
2023-12,11,36,0,2,3
2024-01,17,79,2,3,6
2024-02,15,63,0,0,1
2024-03,8,48,3,3,1
2024-04,10,42,0,3,3
2024-05,14,72,3,1,4
2024-08,19,79,2,1,6
2024-09,14,70,1,1,5
2024-10,10,56,1,0,2
2024-11,16,79,2,2,3
2024-12,12,48,1,1,3
2025-01,17,70,2,2,3
2025-02,15,83,1,1,5
2025-03,17,88,6,6,8
2025-04,17,70,3,1,8
2025-05,18,76,3,1,6
2025-06,1,1,0,0,1
2025-08,13,52,1,1,1
2025-09,16,90,5,3,1
2025-10,10,53,1,1,0
2025-11,12,52,1,2,4
2025-12,15,66,1,1,3
2026-01,10,52,2,2,0
2026-02,29,144,3,1,5
2026-03,3,0,0,0,0
